"","predator.limb.length","obstacle.proportion","prob.escape"
"1",0.1,0,0.302
"198",0.1,0.05,0.136
"375",0.1,0.1,0.188
"572",0.1,0.15,0.324
"777",0.1,0.2,0.692
"963",0.2,0,0.316
"1168",0.2,0.05,0.194
"1382",0.2,0.1,0.128
"1574",0.2,0.15,0.232
"1774",0.2,0.2,0.364
"1962",0.3,0,0.31
"2170",0.3,0.05,0.16
"2380",0.3,0.1,0.15
"2571",0.3,0.15,0.184
"2767",0.3,0.2,0.37
"2962",0.4,0,0.242
"3174",0.4,0.05,0.21
"3380",0.4,0.1,0.19
"3583",0.4,0.15,0.254
"3777",0.4,0.2,0.436
"3962",0.5,0,0.268
"4168",0.5,0.05,0.24
"4379",0.5,0.1,0.208
"4570",0.5,0.15,0.33
"4773",0.5,0.2,0.542
"4962",0.6,0,0.302
"5172",0.6,0.05,0.256
"5384",0.6,0.1,0.234
"5568",0.6,0.15,0.352
"5774",0.6,0.2,0.558
"5963",0.7,0,0.278
"6168",0.7,0.05,0.252
"6376",0.7,0.1,0.262
"6586",0.7,0.15,0.366
"6764",0.7,0.2,0.538
"6963",0.8,0,0.312
"7169",0.8,0.05,0.278
"7382",0.8,0.1,0.278
"7571",0.8,0.15,0.434
"7771",0.8,0.2,0.596
"7962",0.9,0,0.266
"8173",0.9,0.05,0.3
"8366",0.9,0.1,0.278
"8581",0.9,0.15,0.488
"8771",0.9,0.2,0.67
"8964",1,0,0.284
"9172",1,0.05,0.324
"9382",1,0.1,0.322
"9569",1,0.15,0.486
"9764",1,0.2,0.668
