"","predator.limb.length","number.of.refuges","prob.escape.if.detected","median.detect.time"
"1",0.1,0,0.004,77.475
"471",0.1,1,0.146,85.625
"971",0.1,2,0.238955823293173,86.325
"1476",0.1,3,0.328657314629259,87.2
"1967",0.1,4,0.352705410821643,86.1
"2473",0.1,5,0.376,79.875
"2979",0.2,0,0.002,52.525
"3469",0.2,1,0.156,59.4
"3985",0.2,2,0.266,58.9
"4474",0.2,3,0.364,50.45
"4967",0.2,4,0.383534136546185,64.4
"5474",0.2,5,0.456,56.775
"5980",0.3,0,0,66
"6480",0.3,1,0.19438877755511,55
"6979",0.3,2,0.282,64.1
"7465",0.3,3,0.382,65.25
"7973",0.3,4,0.413654618473896,68.825
"8478",0.3,5,0.448897795591182,57.25
"8975",0.4,0,0.00200400801603206,68.45
"9483",0.4,1,0.208835341365462,67.375
"9971",0.4,2,0.336,62.1
"10473",0.4,3,0.376,66.8
"10971",0.4,4,0.43687374749499,66.65
"11466",0.4,5,0.478,65.75
"11969",0.5,0,0.014,72.95
"12469",0.5,1,0.220440881763527,74.1
"12972",0.5,2,0.362,72.425
"13475",0.5,3,0.404809619238477,76.35
"13967",0.5,4,0.496,73.3
"14467",0.5,5,0.470941883767535,67.1
"14979",0.6,0,0.0140280561122244,97.35
"15471",0.6,1,0.236,79.625
"15972",0.6,2,0.356713426853707,60.1
"16474",0.6,3,0.418,76.1
"16968",0.6,4,0.478957915831663,77.55
"17476",0.6,5,0.502008032128514,86.075
"17971",0.7,0,0.00801603206412826,77.7
"18473",0.7,1,0.272545090180361,80.2
"18972",0.7,2,0.353413654618474,85.35
"19477",0.7,3,0.474949899799599,87.85
"19977",0.7,4,0.513026052104208,88
"20472",0.7,5,0.512,85.85
"20971",0.8,0,0.016,85.725
"21465",0.8,1,0.248995983935743,82.15
"21971",0.8,2,0.416498993963783,95.05
"22481",0.8,3,0.474949899799599,103.5
"22972",0.8,4,0.51004016064257,83.575
"23471",0.8,5,0.561368209255533,107.85
"23981",0.9,0,0.0260521042084168,89.65
"24466",0.9,1,0.271629778672032,92.6
"24975",0.9,2,0.430583501006036,85.8
"25468",0.9,3,0.486973947895792,114.45
"25966",0.9,4,0.566532258064516,85.5
"26472",0.9,5,0.556224899598394,91.95
"26972",1,0,0.0282258064516129,96.7
"27467",1,1,0.303212851405622,96.85
"27975",1,2,0.439759036144578,104.925
"28470",1,3,0.523138832997988,94.15
"28965",1,4,0.580321285140562,102.225
"29474",1,5,0.559118236472946,99.45
