"","predator.limb.length","number.of.refuges","prob.never.detected"
"1",0.1,0,0
"471",0.1,1,0
"971",0.1,2,0.004
"1476",0.1,3,0.002
"1967",0.1,4,0.002
"2473",0.1,5,0
"2979",0.2,0,0
"3469",0.2,1,0
"3985",0.2,2,0
"4474",0.2,3,0
"4967",0.2,4,0.004
"5474",0.2,5,0
"5980",0.3,0,0
"6480",0.3,1,0.002
"6979",0.3,2,0
"7465",0.3,3,0
"7973",0.3,4,0.004
"8478",0.3,5,0.002
"8975",0.4,0,0.002
"9483",0.4,1,0.004
"9971",0.4,2,0
"10473",0.4,3,0
"10971",0.4,4,0.002
"11466",0.4,5,0
"11969",0.5,0,0
"12469",0.5,1,0.002
"12972",0.5,2,0
"13475",0.5,3,0.002
"13967",0.5,4,0
"14467",0.5,5,0.002
"14979",0.6,0,0.002
"15471",0.6,1,0
"15972",0.6,2,0.002
"16474",0.6,3,0
"16968",0.6,4,0.002
"17476",0.6,5,0.004
"17971",0.7,0,0.002
"18473",0.7,1,0.002
"18972",0.7,2,0.004
"19477",0.7,3,0.002
"19977",0.7,4,0.002
"20472",0.7,5,0
"20971",0.8,0,0
"21465",0.8,1,0.004
"21971",0.8,2,0.00600000000000001
"22481",0.8,3,0.002
"22972",0.8,4,0.004
"23471",0.8,5,0.00600000000000001
"23981",0.9,0,0.002
"24466",0.9,1,0.00600000000000001
"24975",0.9,2,0.00600000000000001
"25468",0.9,3,0.002
"25966",0.9,4,0.00800000000000001
"26472",0.9,5,0.004
"26972",1,0,0.00800000000000001
"27467",1,1,0.004
"27975",1,2,0.004
"28470",1,3,0.00600000000000001
"28965",1,4,0.004
"29474",1,5,0.002
