"","predator.limb.length","number.of.refuges","prob.escape"
"1",0.1,0,0.004
"471",0.1,1,0.146
"971",0.1,2,0.242
"1476",0.1,3,0.33
"1967",0.1,4,0.354
"2473",0.1,5,0.376
"2979",0.2,0,0.002
"3469",0.2,1,0.156
"3985",0.2,2,0.266
"4474",0.2,3,0.364
"4967",0.2,4,0.386
"5474",0.2,5,0.456
"5980",0.3,0,0
"6480",0.3,1,0.196
"6979",0.3,2,0.282
"7465",0.3,3,0.382
"7973",0.3,4,0.416
"8478",0.3,5,0.45
"8975",0.4,0,0.004
"9483",0.4,1,0.212
"9971",0.4,2,0.336
"10473",0.4,3,0.376
"10971",0.4,4,0.438
"11466",0.4,5,0.478
"11969",0.5,0,0.014
"12469",0.5,1,0.222
"12972",0.5,2,0.362
"13475",0.5,3,0.406
"13967",0.5,4,0.496
"14467",0.5,5,0.472
"14979",0.6,0,0.016
"15471",0.6,1,0.236
"15972",0.6,2,0.358
"16474",0.6,3,0.418
"16968",0.6,4,0.48
"17476",0.6,5,0.504
"17971",0.7,0,0.01
"18473",0.7,1,0.274
"18972",0.7,2,0.356
"19477",0.7,3,0.476
"19977",0.7,4,0.514
"20472",0.7,5,0.512
"20971",0.8,0,0.016
"21465",0.8,1,0.252
"21971",0.8,2,0.42
"22481",0.8,3,0.476
"22972",0.8,4,0.512
"23471",0.8,5,0.564
"23981",0.9,0,0.028
"24466",0.9,1,0.276
"24975",0.9,2,0.434
"25468",0.9,3,0.488
"25966",0.9,4,0.57
"26472",0.9,5,0.558
"26972",1,0,0.036
"27467",1,1,0.306
"27975",1,2,0.442
"28470",1,3,0.526
"28965",1,4,0.582
"29474",1,5,0.56
